"","V1","V2","V3","V4"
"1583",229.329690054378,229.279233393672,229.278250424129,229.278250424129
"1584",229.41588162592,229.364706949155,229.36381757443,229.36381757443
"1585",228.998269582443,228.9475471958,228.946746506934,228.946746506934
"1586",228.519405858983,228.469029545965,228.468309277785,228.468309277785
"1587",228.579639295318,228.529688087988,228.529033254736,228.529033254736
"1588",228.946567348535,228.896117439898,228.895541436892,228.895541436892
"1589",228.498356028457,228.447338104845,228.446848639597,228.446848639597
"1590",227.610379559386,227.560383695887,227.559994906559,227.559994906559
"1591",227.996496747502,227.947043957221,227.946774115413,227.946774115413
"1592",228.637097283505,228.587527150567,228.587644681135,228.587644681135
"1593",228.379310752661,228.330131067085,228.330531392936,228.330531392936
"1594",228.674194305295,228.625068163897,228.625711330238,228.625711330238
"1595",229.423597852117,229.373971153516,229.374646440833,229.374646440833
"1596",229.088541491319,229.038279569916,229.038919630406,229.038919630406
"1597",228.683113567714,228.633529639016,228.634089294358,228.634089294358
"1598",228.077278772334,228.028132034737,228.02864135729,228.02864135729
"1599",227.800017795985,227.752002403796,227.752497740455,227.752497740455
"1600",228.17682504184,228.128937375642,228.129381390148,228.129381390148
"1601",227.602212770533,227.555698299936,227.556093703667,227.556093703667
"1602",227.193939395873,227.148958901306,227.149311179192,227.149311179192
"1603",227.442805339744,227.398709457965,227.399015189284,227.399015189284
"1604",227.779174882694,227.735437392915,227.735688469265,227.735688469265
"1605",227.903510331336,227.861317442824,227.859803077839,227.859803077839
"1606",227.835011675071,227.793589894293,227.791923026629,227.791923026629
"1607",228.590155676874,228.548057364129,228.546937901509,228.546937901509
"1608",229.06923235406,229.02602316631,229.025268643363,229.025268643363
"1609",229.036661956542,228.992761333856,228.992384700853,228.992384700853
"1610",229.151711087444,229.106985077511,229.106998735062,229.106998735062
"1611",229.311113141432,229.265742873709,229.265777069765,229.265777069765
"1612",229.345403392099,229.299217919352,229.299605238721,229.299605238721
"1613",229.096434571232,229.049580960636,229.050239269707,229.050239269707
"1614",228.759535627734,228.71252224796,228.71374531854,228.71374531854
"1615",228.142207990175,228.095519458901,228.097454661043,228.097454661043
"1616",227.551463447794,227.505620915397,227.507496415073,227.507496415073
"1617",227.580498238694,227.534501008943,227.537236931152,227.537236931152
"1618",227.754887288966,227.709496323586,227.712289626421,227.712289626421
"1619",227.41445558391,227.370467715009,227.373262945735,227.373262945735
"1620",227.465437189209,227.422361030521,227.424739290262,227.424739290262
"1621",227.31167447842,227.26935454437,227.272206331064,227.272206331064
"1622",227.005626948337,226.964487585623,226.967229662336,226.967229662336
"1623",226.870982961414,226.830808409136,226.83336745994,226.83336745994
"1624",226.876467102708,226.836917447343,226.83951973736,226.83951973736
"1625",227.006905119885,226.968014494277,226.970880980897,226.970880980897
"1626",227.624921353924,227.585878173759,227.589406874993,227.589406874993
"1627",228.090226509957,228.051689881629,228.055126973955,228.055126973955
"1628",228.374411428638,228.336570322796,228.339265751584,228.339265751584
"1629",228.76138641941,228.723372414918,228.724977368205,228.724977368205
"1630",228.606935274441,228.568051438963,228.569904580085,228.569904580085
"1631",228.711849767799,228.673918299713,228.675569084512,228.675569084512
"1632",229.07695714447,229.037818541895,229.039747944975,229.039747944975
"1633",228.821258584479,228.782200261271,228.783230155271,228.783230155271
"1634",228.186756155111,228.14761424848,228.148669705597,228.148669705597
"1635",228.261772805127,228.222568418251,228.223159629632,228.223159629632
"1636",228.734034112485,228.694483218722,228.694843291109,228.694843291109
"1637",229.972206455265,229.930789610152,229.931840816803,229.931840816803
"1638",230.568298953999,230.523277845577,230.524717932543,230.524717932543
"1639",230.369883675584,230.323471283786,230.324061622906,230.324061622906
"1640",230.893139896763,230.844575177764,230.844796192657,230.844796192657
"1641",231.396701941937,231.344836596466,231.34506365054,231.34506365054
"1642",231.516062235808,231.461254168511,231.461327780644,231.461327780644
"1643",231.521209182627,231.463783537813,231.463761688366,231.463761688366
"1644",231.9517868054,231.891103115374,231.890957485692,231.890957485692
"1645",231.25832911968,231.195219872109,231.196063488709,231.196063488709
"1646",230.931298127879,230.868184566456,230.868530060267,230.868530060267
